Year,ALLS_1,ALLS_2,ALLS_3,ALLS_4,ALLS_5
1966.0,Bill Russell,Elgin Baylor,Bob Pettit,Oscar Robertson,Jerry West
1965.0,Wilthamberlain,Elgin Baylor,Bob Pettit,Oscar Robertson,Jerry West
1964.0,Wilthamberlain,Elgin Baylor,Bob Pettit,Bob Cousy,Oscar Robertson
1964.0,Wilthamberlain,Elgin Baylor,Bob Pettit,Bob Cousy,Gene Shue
1963.0,Bill Russell,Elgin Baylor,Bob Pettit,Bob Cousy,Bill Sharman
1962.0,Bob Pettit,Dolph Schayes,George Yardley,Bob Cousy,Bill Sharman
1962.0,Bob Pettit,Paul Arizin,Dolph Schayes,Bob Cousy,Bill Sharman
1961.0,Neil Johnston,Paul Arizin,Bob Pettit,Bob Cousy,Bill Sharman
1960.0,Bobousy,Larryoust,Neil Johnston,Bob Pettit,Dolph Schayes
1960.0,Bobousy,Harry Gallatin,Neil Johnston,George Mikan,Dolph Schayes
1959.0,Bobousy,Neil Johnston,Ed Macauley,George Mikan,Dolph Schayes
1958.0,Paul Arizin,Bob Cousy,Ed Macauley,George Mikan,Bob Davies
1958.0,Ralph Beard,Bob Davies,Alex Groza,Ed Macauley,George Mikan
1957.0,Bob Davies,Alex Groza,George Mikan,Jim Pollard,Max Zaslofsky
1956.0,Bob Davies,Joeulks,George Mikan,Jim Pollard,Max Zaslofsky
1956.0,Howie Dallmar,Bobeerick,Joeulks,Ed Sadowski,Max Zaslofsky
1955.0,Bob Feerick,Joeulks,Bones McKinney,Stan Miasek,Max Zaslofsky
